part_name,part_id,mpn_id,part_price,install_difficulty,install_time,symptoms,appliance_types,replace_parts,brand,availability,in_stock,install_video_url,product_url,appliance_type,description,compatible_models,image_url,rating,review_count
Admiral Refrigerator Ice And Water Filter,PS11701542,EDR1RXD1,84.45,Really Easy,15 - 30 mins,Not dispensing water | Ice maker not making ice | Ice maker won’t dispense ice | Leaking | Ice maker dispenses too little ice,Refrigerator,"AP5982535,  9900,  9981,  FILTER 1,  FILTER1,  W10217316,  W10291030,  W10295370,  W10295370A,  W10569758,  W10569760,  W10569761,  W10735398",Whirlpool,In Stock,1,https://www.youtube.com/watch?v=rryiwFOJBYg,https://www.partselect.com/PS11701542-Whirlpool-EDR1RXD1-Refrigerator-Ice-and-Water-Filter.htm,refrigerator,"Refrigerator Ice and Water Filter Specifications The EDR1RXD1 water filter provides clean, fresh-tasting water by reducing contaminants such as lead, chlorine, and particulates. Designed for easy installation, this filter ensures your refrigerator water and ice are safe and refreshing with every use",10650022210 | 10650022211 | 10650023210 | 10650023211 | 10650029210 | 10650029211 | 10650029213 | 10651122211 | 10651123211 | 10651124211 | 10651129211 | 10651129212 | 10651132210 | 10651132213 | 10651133210 | 10651133213 | 10651134210 | 10651134213 | 10651135610 | 10651136210 | 10651139210 | 10651139213 | 10651139214 | 10651142111 | 10651143111 | 10651149111 | 10651149112 | 10651152112 | 10651182112 | 10651183112,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11701542-1-M-Whirlpool-EDR1RXD1-Refrigerator-Ice-and-Water-Filter.jpg,4.8,111
Admiral Refrigerator Water Filter,PS11722130,EDR4RXD1,84.45,Easy,15 - 30 mins,Not dispensing water | Ice maker not making ice | Leaking | Ice maker dispenses too little ice | Noisy | Fridge too cold | Ice maker won’t dispense ice | Touchpad does not respond,Refrigerator,"AP5983564,  12589201,  12589203,  12589206,  12589208,  13040201,  13040214,  13040216,  13040216N,  13040218,  4396395,  67002671,  67003526,  67003591,  67003727,  67006464,  67006467,  67006468,  67006474,  67006475 ... Show more , 67006476,  67006477,  67006633,  67006634,  67006637,  8171032,  8171249,  9984,  9992,  EVFILTER4,  FILTER4,  UKF8001,  UKF8001AXX,  UKF9001,  UKF9001AXX,  W10181835,  W10336197,  W10336197N,  W10735404,  W11256384,  WF-50,  WF50,  WF50-NI300,  WF50-NI500 Show less",Whirlpool,In Stock,1,https://www.youtube.com/watch?v=5oA-c0VklDg,https://www.partselect.com/PS11722130-Whirlpool-EDR4RXD1-Refrigerator-Water-Filter.htm,refrigerator,"Refrigerator Water Filter Specifications This water filter (Whirlpool EveryDrop Refrigerator Water Filter, Single Turn Filter) purifies water going to the water dispenser and sometimes the icemaker as well. This part should be replaced if it is causing reduced water flow or just replaced periodically per the owner manual. Replacing this water filter may fix a noisy or leaking fridge, a fridge that is not dispensing water (or reduced flow rate), and an ice maker that is not making ice at all, or not making enough ice. This filter is white, sold individually and measures 8 inches by 3 inches in diameter. This water filter has been updated by the manufacturer. It may appear different but will still function the same. It is sold individually.",10672002011 | 10672002015 | 10672003010 | 10672003016 | 10672003017 | 10672003018 | 10672009010 | 10672009011 | 10672009015 | 4609005000 | 4609006000 | 4609084 | 469005 | 469005750 | 469006 | 469006200 | 469006750 | 469084 | 469992 | 469992100 | 596379243017 | 59650002100 | 59650003100 | 59650004100 | 59650009100 | 59650012100 | 59650013100 | 59650014100 | 59650019100 | 59651672100,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11722130-1-M-Whirlpool-EDR4RXD1-Refrigerator-Water-Filter.jpg,4.7,100
Admiral Refrigerator Air Filter,PS2580853,W10311524,17.15,Really Easy,30 - 60 mins,Fridge too warm | Fridge too cold | Ice maker not making ice | Noisy | Leaking | Clicking sound | Door Sweating,Refrigerator,"AP4538127,  2319308,  AIR 1,  AIR1,  W10315189,  W10335147",Whirlpool,In Stock,1,https://www.youtube.com/watch?v=nxIKznINpf8,https://www.partselect.com/PS2580853-Whirlpool-W10311524-Refrigerator-Air-Filter.htm,refrigerator,"Refrigerator Air Filter Specifications This Refrigerator Air Filter is a white 1.8x3.2"" plastic filter which neutralizes odor and bacteria in the air. It should be replaced every six months at a minimum. Refer to your user manual and model number to see if this filter is right for your fridge. Location for storage of the air filter may vary from model to model, but generally, you will find a small cover on the back-middle-top of your fridge, which can be popped off to reveal the air filter, which can be easily changed out from there. This part does not come sold with the indicator; it is the filter only. Sold individually.",10632242101 | 10632243101 | 10632249101 | 10632942101 | 10632943101 | 10632949101 | 10641162310 | 10641163310 | 10641169310 | 1064651773510 | 10651132210 | 10651132213 | 10651133210 | 10651133213 | 10651134210 | 10651134213 | 10651135610 | 10651136210 | 10651139210 | 10651139213 | 10651139214 | 10651142110 | 10651142111 | 10651143110 | 10651143111 | 10651149110 | 10651149111 | 10651149112 | 10651152110 | 10651152112,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/2580853-1-M-Whirlpool-W10311524-Refrigerator-Air-Filter.jpg,4.8,44
Admiral Refrigerator Gallon Door Bin - Clear,PS11757236,WPW10710203,35.8,Really Easy,Less than 15 mins,,Refrigerator,"AP6023888,  W10451871,  W10463668,  W10710203,  WPW10710203VP",Whirlpool,In Stock,1,,https://www.partselect.com/PS11757236-Whirlpool-WPW10710203-Gallon-Door-Bin-Clear.htm,refrigerator,"Gallon Door Bin - Clear Specifications This clear refrigerator door shelf bin is a genuine OEM replacement part designed for select Whirlpool, Kenmore, and Maytag models. Made from high-quality, food-grade PS plastic, it securely holds jars, bottles, and other items on the right-hand side of the upper refrigerator door. The bin features reinforced edges for added durability and wear resistance, and some versions include a built-in soda can organizer for enhanced storage. Installation is tool-free, with the bin snapping directly into the designated slot. Compatibility should be verified using your refrigerator’s model number prior to installation.",10641122210 | 10641122211 | 10641122212 | 10641122213 | 10641123210 | 10641123211 | 10641123212 | 10641124210 | 10641129210 | 10641129211 | 10641129212 | 10641129213 | 10641152210 | 10641152211 | 10641153210 | 10641153211 | 10641154210 | 10641159210 | 10641159211 | 10641159212 | 10650022210 | 10650022211 | 10650023210 | 10650023211 | 10650029210 | 10650029211 | 10651113210 | 10651122210 | 10651122211 | 10651123210,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11757236-1-M-Whirlpool-WPW10710203-Gallon-Door-Bin-Clear.jpg,4.7,82
Admiral Refrigerator Ice Maker,PS11738120,W10873791,77.34,Really Easy,15 - 30 mins,Ice maker not making ice | Ice maker won’t dispense ice | Leaking,Refrigerator,"AP6026347,  W10760070,  W10798411,  W10847507,  W10873791VP,  W11130444,  W11646278",Whirlpool,In Stock,1,,https://www.partselect.com/PS11738120-Whirlpool-W10873791-Refrigerator-Ice-Maker.htm,refrigerator,"Refrigerator Ice Maker Specifications Tired of your fridge not making ice? This replacement ice maker can fix that. It automatically fills with water, freezes it, and drops ice into the bin—so you always have ice ready for drinks or cooking. It’s made to fit several Whirlpool, Maytag, and KitchenAid models and is great if your current ice maker is leaking, noisy, or just not working. Easy to install and ready to get your ice supply back on track.",1064651332710 | 1064651332713 | 1064651335710 | 1064651335713 | 1064651339710 | 1064651339713 | 1064651773510 | 10651132213 | 10651133213 | 10651134213 | 10651135610 | 10651139213 | 10651139214 | 10651332710 | 10651332713 | 10651332716 | 10651335710 | 10651335713 | 10651335714 | 10651339710 | 10651339713 | 10651339716 | 10651762510 | 10651762511 | 10651763510 | 10651763511 | 10651764510 | 10651764511 | 10651769510 | 10651769511,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11738120-1-M-Whirlpool-W10873791-Refrigerator-Ice-Maker.jpg,4.5,53
Admiral Refrigerator Replacement Ice Maker,PS2121513,D7824706Q,95.17,Easy,15 - 30 mins,Ice maker not making ice | Leaking | Ice maker won’t dispense ice | Ice maker dispenses too much ice | Ice maker dispenses too little ice | Won’t start | Will Not Start | Noisy,Refrigerator | Ice Maker,"AP4135008,  915772,  D7824706Q,  0056504,  0056599,  0056606,  0312578,  0312738,  0312739,  0312740,  10549201,  10563707,  10563708,  61005508,  61005508A,  67001263,  68111-1,  68972-1,  8170937,  95091-1 ... Show more , 95098-1,  95109-1,  D7767601,  D7824701,  D7824702,  D7824703,  D7824704,  D7824705,  D7824705Q,  D7824706,  D7824706Q,  D7824706QVP,  R0154025,  R0156628,  R0156669,  R0161059,  R0161061,  R0167201,  R0183135,  R0194462,  R0194462A,  R0194666,  R0950064,  W10122519,  W10190978,  Y0056504,  Y0056599,  Y0056606,  Y0312578,  Y0312738,  Y0312740,  YR0161061 Show less",Whirlpool,In Stock,1,https://www.youtube.com/watch?v=_6xfzzeEWyw,https://www.partselect.com/PS2121513-Whirlpool-D7824706Q-Replacement-Ice-Maker.htm,refrigerator,"Replacement Ice Maker Specifications This ice maker (Ice Maker Assembly, Refrigerator Ice Maker) produces ice cubes that are ejected into the storage bucket. It is located in the freezer section of your appliance, mounted on the freezer wall. The ice maker can break from normal wear and accidental damage. If this happens, your refrigerator may no longer make ice cubes, or may not make enough cubes, and the part should be replaced. This model measures approximately 11 inches long and 5 inches wide. It’s constructed of plastic and metal, and comes in black/white/silver. This assembly includes the ice mold and the control device.",10672002010 | 10672003010 | 10672003011 | 10672009010 | 10672012010 | 10672013010 | 10672019010 | 12001294 | 12001302 | 12500048 | 17694 | 17794A | 18103-0 | 18103-0A | 181040 | 18914A | 19123-0 | 19124-0 | 19133-0A | 191340 | 191347 | 19143-0A | 19143-0B | 191450 | 191457 | 19153-1 | 191550 | 191557 | 19163-0A | 191650,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/2121513-1-M-Whirlpool-D7824706Q-Replacement-Ice-Maker.jpg,4.7,186
Admiral Refrigerator Water Filter,PS11722126,EDR2RXD1,84.45,Really Easy,Less than 15 mins,Ice maker not making ice,Refrigerator | Freezer,"AP5983562,  FILTER 2,  FILTER2,  W10238154,  W10413645,  W10413645A,  W10609378,  W10680605",Whirlpool,In Stock,1,,https://www.partselect.com/PS11722126-Whirlpool-EDR2RXD1-Water-Filter.htm,refrigerator,"Water Filter Specifications This water filter is a genuine replacement for bottom-freezer refrigerators that accept a Filter 2. it is certified to remove up to 24 different contaminants which include pharmaceuticals, waterborne parasites, lead, and pesticides. The filter should be replaced every six months, or when 200 gallons of water have passed through, to ensure optimum contaminant reduction. The filter is found in the top right corner of your fridge, and replacing it is easy. Simply pop out the old one (keep a bucket underneath to catch any water) and slide in the new one. You will hear a click once it has locked into place. You should run water through the filter for a couple minutes prior to use. This filter measures approximately two inches wide, two inches deep, and 7.5 inches long.",10673002510 | 10673002511 | 10673003510 | 10673003511 | 10673009510 | 10673009511 | 10679472410 | 59672382410 | 596723824102 | 59672382413 | 59672383410 | 596723834102 | 59672383413 | 59672389410 | 59672389412 | 59672389413 | 59673002510 | 59673003510 | 59673009510 | 7MF2976AEM00 | 7MF2976AEM01 | 7MF2976AEM02 | 7MF2976AEM03 | 7WF736SDAM10 | 7WF736SDAM11 | 7WF736SDAM12 | 7WF736SDAM13 | 7WF736SDAM14 | ALOVE18FLC00 | ALOVE24FLC00,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11722126-1-M-Whirlpool-EDR2RXD1-Water-Filter.jpg,4.8,36
Admiral Refrigerator Light Bulb - 40w,PS884734,8009,19.54,Really Easy,15 - 30 mins,,Refrigerator | Range | Dryer | Wall Oven | Microwave | Freezer | Microwave Oven Combo | Range Hood | Washer | Bath & Ventilation Fan | Washer Dryer Combo | Air Conditioner | Cooktop,"AP3607217,  1958,  8009,  0020478,  0020571,  0047146,  0053950,  0056713,  0057030,  0057035,  0088673,  0089290,  040672-02,  05600070,  0B00300199,  0B00300299,  0B00300399,  0L01500199,  10664502,  10664503 ... Show more , 1077-202,  1077202,  14001021,  14201304,  14205456,  14206578,  14207674,  14211172,  14214978,  14903,  15779,  187,  19447,  19950037,  20100751,  20102977,  20478,  2252969,  2262969,  233056,  2386001,  240673,  241006,  245388,  247591,  25916P01,  259957,  260929,  279666,  3-0909,  3-909,  300909,  304-3,  311255,  311255D,  31956,  31956A,  40A15,  41275,  4157019,  4159006,  4165252,  4165697,  4166357,  4169617,  4173062,  4211947,  42585,  4319603,  4324154,  4338591,  4355037,  4355534,  4355679,  4364092,  4371303,  4372020,  4389460,  5-20021,  5-50733,  5-70019,  50062-3,  501358,  50302,  509602,  517949,  51945P01,  520021,  526949,  527949,  540611,  540614,  54494,  547949,  550733,  570019,  67003883A,  68123-2,  7-1159,  7-66096,  7-70121,  7-70852,  7-71133,  7-7319,  7-90064,  701159,  72001067,  7407P002-60,  7407P026-60,  7407P091-60,  7407P095-60,  7407P103-60,  7407P114-60,  766096,  770121,  770852,  771133,  786571,  786742,  790064,  8009,  816389,  816641,  837,  865000,  878122,  878937,  879350,  880010,  8935,  93-0B-00300-19,  93-0B-00300-199,  976110,  98004498,  A0282803,  A0282803A,  A0282803Q,  A0282806,  A0282810,  A282803,  JA99707319,  M9D1,  M9D37,  M9D49,  M9D51,  R0130419,  R0130884,  R0157675,  R0157818,  R0165001,  R0165007,  R0712010,  R0762002,  R0762003,  R0950124,  STD398091,  W10126566,  W10132113,  W10132131,  W10346855,  WB8T10022,  Y0020478,  Y0020571,  Y0047146,  Y0053950,  Y0056713,  Y0057030,  Y0057035,  Y0088673,  Y0089290,  Y04067202,  Y05600070,  Y0B00300199,  Y0B00300299,  Y0B00300399,  Y0L01500199,  Y701159,  Y707319 Show less",Whirlpool,In Stock,1,https://www.youtube.com/watch?v=kSohIGunxBw,https://www.partselect.com/PS884734-Whirlpool-8009-Light-Bulb-40W.htm,refrigerator,"Light Bulb - 40W Specifications This an authentic OEM 40-Watt replacement light bulb, used in a number of household appliances. It is specially designed to withstand extreme temperatures, which is why these replacement bulbs are most often used to light the inside of refrigerators and ranges. It features a standard socket base, which means you simply unscrew the burnt-out bulb and screw in the replacement. Depending on the appliance you may require a screwdriver or nut driver to access the light bulb. We recommend you wear work gloves while handling this replacement part. It is constructed of glass and metal and is sold individually. Depending on the appliance and location of the bulb within it, you may want to consider disconnecting power and using a flashlight for easier access to unscrewing and re-screwing in your bulb during this repair.",1005040 | 1005070 | 1005080 | 102000 | 102001 | 102002 | 1035 | 1037 | 1058AF-CW | 1058AF-CZ | 1058AH-W | 1058AH-Z | 1058WF-CW | 1058WF-CZ | 1058WH-W | 106106-8130600 | 106106-8130610 | 106106-8130620 | 106106-8130630 | 106106-8130640 | 106106-8130650 | 106106-8130660 | 106106-8130680 | 106106-8130690 | 1061068130670 | 1061068131 | 10631400200 | 10631402200 | 10631404200 | 10631409200,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/884734-1-M-Whirlpool-8009-Light-Bulb-40W.jpg,4.6,78
Admiral Refrigerator Meat Drawer Shelf,PS11731608,W10861519,49.5,Really Easy,15 - 30 mins,,Refrigerator,"AP5999492,  W10628698",Whirlpool,In Stock,1,,https://www.partselect.com/PS11731608-Whirlpool-W10861519-Meat-Drawer-Shelf.htm,refrigerator,"Meat Drawer Shelf Specifications This is a meat drawer shelf frame for some models of refrigerator. This white plastic frame measures approximately 12-inches wide and 16 inches long, and is used to allow the meat drawer to easily slide in and out of the fridge. If your meat drawer is currently sagging and this frame is damaged and not supporting it enough, it needs to be replaced. Replacing this frame requires you to remove the meat drawer and the glass shelf above it, so you can flip it over and slide out the old frame, and slide in the new. This frame is supplied by the original equipment manufacturer and is sold individually, so it does not include any other parts for the meat drawer or shelf above it.",5GT311FFEW00 | 5WT511SFEG00 | 5WT511SFEW00 | 5WT519SFEG00 | 5WT519SFEW00 | MRT711SMFZ02 | WRT148FZDB00 | WRT148FZDB03 | WRT148FZDB04 | WRT148FZDB05 | WRT148FZDB07 | WRT148FZDM00 | WRT148FZDM03 | WRT148FZDM04 | WRT148FZDM05 | WRT148FZDM07 | WRT148FZDM08 | WRT148FZDW00 | WRT148FZDW03 | WRT148FZDW04 | WRT148FZDW05 | WRT148FZDW07 | WRT311FZDB00 | WRT311FZDB01 | WRT311FZDB02 | WRT311FZDB04 | WRT311FZDB05 | WRT311FZDM00 | WRT311FZDM01 | WRT311FZDM02,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/11731608-1-M-Whirlpool-W10861519-Meat-Drawer-Shelf.jpg,4.7,70
Admiral Refrigerator Door Switch,PS12728638,W11384469,30.53,Really Easy,Less than 15 mins,Light not working,Refrigerator | Freezer | Ice Maker,"AP6893312,  046789-01,  1021,  1107734,  1108055,  1108112,  1118894,  1118895,  12466102,  14001066,  14200201,  14205646,  14210229,  14214567,  1547075,  1549695,  2-32164-001,  2154668,  2321286,  4312314 ... Show more , 4339476,  4343259,  4343930,  4344314,  4344571,  4356873,  4390513,  46000549702,  547075,  548472,  548897,  549695,  549697,  549702,  55732-1,  61003026,  66987-1,  68001061,  68001324,  7050-0058,  8119,  8170294,  989282,  99989727,  C36803-4,  C3680301,  C3680304,  C3680307,  C3680308,  C3680310,  C3680310V,  C3680314,  R0130445,  R0130879,  R0213159,  R9800565,  W10656773,  W11234536,  W11428639,  WP1118894,  WPC3680310,  WPW10656773,  Y04678901 Show less",Whirlpool,In Stock,1,https://www.youtube.com/watch?v=2juGyjXFpyk,https://www.partselect.com/PS12728638-Whirlpool-W11384469-Refrigerator-Door-Switch.htm,refrigerator,Refrigerator Door Switch Specifications Door switch turns the light off when you close the door.,103200 | 103210 | 106106-8130600 | 106106-8130610 | 106106-8130620 | 106106-8130630 | 106106-8130640 | 106106-8130650 | 106106-8130660 | 106106-8130680 | 106106-8130690 | 106106813067 | 1061068130670 | 1061068131 | 10631400200 | 10631402200 | 10631404200 | 10631409200 | 10631410200 | 10631412200 | 10631414200 | 10631419200 | 10632242101 | 10632243101 | 10632249101 | 10632842010 | 10632852010 | 10632852011 | 10632853010 | 10632853011,https://partselectcom-gtcdcddbene3cpes.z01.azurefd.net/12728638-1-M-Whirlpool-W11384469-Refrigerator-Door-Switch.jpg,4.6,95
